prompt,response
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 1551 kg. Taux de recapture : 53.3%.
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Nord. Phase : grossissement. Biomasse récoltée : 1602 kg. Taux de recapture : 42.7%.
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 1406 kg. Taux de recapture : 39.5%.
Quel est le taux de recapture du parc P8 ?,Le taux de recapture moyen du parc P8 est de 42.9% pour les opérations d'Transfert.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 14 lignes. Taux de recapture moyen : 30.4%. Biomasse totale : 1352 kg."
Achats pour la catégorie PLOMBERIE ?,"Catégorie PLOMBERIE : 42 lignes, valeur 217 055 DH. Fournisseur principal : AGUACONCEPT."
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 19 lignes. Taux de recapture moyen : 87.3%. Biomasse totale : 1912 kg."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Combien de DA sont en cours ?,Il y a 53 DA en cours dont 30 sans commande associée. Valeur totale : 154 777 DH.
Évolution mensuelle des achats ?,"Dernier mois : 25 DA créées, 38 BC créées. Valeur : 348 493 DH. Tendance : baisse."
Quelles sont les données du parc P6 ?,Le parc P6 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 1283 kg. Taux de recapture : 20.5%.
Résumé YTD Finance,"YTD : Budget total 351 993 DH, Réalisé 334 340 DH. Variance globale : -5.6%. Principaux drivers : Investissements, Main d'oeuvre directe."
Fournisseur ACRAPLAST ?,"ACRAPLAST : 13 commandes, valeur totale 103 423 DH. Catégories : CO2 INTRANT, STRUCTURE MÉTALLIQUE."
Budget vs Réalisé pour Résultat net,Budget : 413 218 DH. Réalisé : 259 823 DH. Écart : -18.8%. Défavorable.
Évolution mensuelle des achats ?,"Dernier mois : 20 DA créées, 54 BC créées. Valeur : 340 897 DH. Tendance : hausse."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Combien de DA sont en cours ?,Il y a 26 DA en cours dont 28 sans commande associée. Valeur totale : 116 853 DH.
Bonjour,Bonjour ! Je suis l'assistant AZURA AQUA. Comment puis-je vous aider ?
Compare Primaire et Hors calibre,"Primaire : 24 lignes, taux recapture 87.4%. Hors calibre : 14 lignes, taux recapture 72.8%."
Quel est le taux de recapture du parc P7-ext ?,Le taux de recapture moyen du parc P7-ext est de 67.5% pour les opérations d'Transfert.
Quel est le statut du poste Chiffre d'affaires ?,"Poste CA (Chiffre d'affaires) : Budget 190 205 DH, Réalisé 162 034 DH. Variance : -19.2%. Tendance vs N-1 : -17.1%."
Capex vs Opex ?,"Opex : 248 lignes, 71 187 DH. Capex : 146 lignes, 412 028 DH."
Capex vs Opex ?,"Opex : 244 lignes, 230 299 DH. Capex : 65 lignes, 406 754 DH."
Accès pour admin et responsable achat,Accès configuré pour admin et responsable achat. Délais ou priorités spécifiques ?
Quelles sont les anomalies financières ?,2 anomalies détectées via Z-Score. Poste principal : Investissements avec variance de -3.0%.
Compare Primaire et Hors calibre,"Primaire : 11 lignes, taux recapture 40.5%. Hors calibre : 21 lignes, taux recapture 50.1%."
